customer_id,signup_date,snapshot_date,plan_type,plan_price,city,tenure_months,tenure_days,logins_last_7d,logins_last_30d,logins_per_month_avg,orders_total,orders_last_30d,avg_order_value,total_spend,support_tickets_total,support_tickets_last_30d,items_skipped_total,items_skipped_last_3_boxes,nps_score,days_since_last_login,days_since_last_order,churn_30d,churn_date,cancel_reason
SC-100026,2022-03-03,2024-01-15,family,79.99,San Jose,22.8,683,1,6,4,26,1,68.43,1779.21,9,2,2,0,6.0,24,59,0,,
SC-100027,2023-05-26,2024-01-15,family,79.99,San Antonio,7.8,234,2,8,8,7,1,46.89,328.24,0,0,0,0,8.0,3,2,0,,
SC-100028,2023-08-19,2024-01-15,premium,49.99,New York,5.0,149,0,0,3,4,1,41.83,167.34,3,1,2,0,,2,6,0,,
SC-100029,2022-07-13,2024-01-15,basic,29.99,Phoenix,18.4,551,3,4,5,16,1,32.13,514.07,4,0,0,0,2.0,28,3,0,,
SC-100030,2022-01-01,2024-01-15,family,79.99,Los Angeles,24.8,744,3,4,11,23,1,52.84,1215.36,0,0,3,0,8.0,0,33,0,,
SC-100031,2023-04-06,2024-01-15,family,79.99,Portland,9.5,284,2,1,5,30,1,52.47,1573.98,1,0,0,0,5.0,29,3,0,,
SC-100032,2022-02-12,2024-01-15,premium,49.99,Denver,23.4,702,1,7,3,20,0,27.1,541.92,10,1,2,0,8.0,1,17,0,,
SC-100033,2023-12-22,2024-01-15,premium,49.99,Phoenix,0.8,24,4,2,8,0,2,79.64,0.0,1,1,0,1,8.0,0,24,0,,
SC-100034,2022-01-01,2024-01-15,basic,29.99,San Jose,24.8,744,1,3,4,25,0,34.45,861.18,16,3,6,0,1.0,16,162,1,2024-01-21,too_expensive
SC-100035,2022-09-28,2024-01-15,premium,49.99,Houston,15.8,474,2,8,5,16,1,36.83,589.36,1,0,0,0,8.0,7,2,0,,
SC-100036,2022-12-26,2024-01-15,basic,29.99,Seattle,12.8,385,0,5,5,22,0,62.73,1380.05,4,0,0,0,8.0,0,2,0,,
SC-100037,2023-06-10,2024-01-15,family,79.99,Phoenix,7.3,219,2,4,4,6,2,72.89,437.36,1,0,1,0,10.0,0,6,0,,
SC-100038,2022-04-07,2024-01-15,family,79.99,New York,21.6,648,1,2,2,24,1,56.02,1344.55,9,3,3,0,3.0,20,25,1,2024-01-23,too_expensive
SC-100039,2023-06-12,2024-01-15,basic,29.99,New York,7.2,217,2,3,4,6,0,51.53,309.2,2,0,1,1,10.0,5,8,0,,
SC-100040,2023-05-22,2024-01-15,basic,29.99,Boston,7.9,238,2,2,4,8,1,23.64,189.09,3,2,2,0,8.0,17,65,0,,
SC-100041,2023-08-09,2024-01-15,basic,29.99,Phoenix,5.3,159,3,5,7,4,0,53.31,213.25,1,0,0,0,6.0,6,8,0,,
SC-100042,2022-01-01,2024-01-15,premium,49.99,Houston,24.8,744,0,0,0,20,1,67.52,1350.4,16,1,5,0,,35,20,1,2024-01-16,quality_issues
SC-100043,2023-04-10,2024-01-15,basic,29.99,Dallas,9.3,280,1,4,4,10,1,46.68,466.85,0,0,0,0,6.0,5,10,0,,
SC-100044,2023-04-30,2024-01-15,premium,49.99,Boston,8.7,260,3,4,8,10,2,119.82,1198.15,1,0,0,0,,1,70,0,,
SC-100045,2023-03-30,2024-01-15,family,79.99,Seattle,9.7,291,1,3,4,10,1,39.64,396.44,0,0,0,0,3.0,43,38,0,,
SC-100046,2023-02-01,2024-01-15,basic,29.99,Houston,11.6,348,2,9,8,9,1,44.52,400.69,0,0,1,0,9.0,11,9,0,,
SC-100047,2022-01-01,2024-01-15,basic,29.99,New York,24.8,744,1,7,7,27,2,108.57,2931.31,1,0,4,0,8.0,0,10,0,,
SC-100048,2023-12-15,2024-01-15,premium,49.99,New York,1.0,31,0,12,7,1,2,40.92,40.92,0,0,0,0,9.0,1,25,0,,
SC-100049,2023-06-04,2024-01-15,premium,49.99,San Diego,7.5,225,1,4,1,6,0,40.02,240.09,3,0,0,0,10.0,1,24,0,,
SC-100050,2022-05-16,2024-01-15,premium,49.99,Chicago,20.3,609,1,1,6,22,0,42.59,936.98,1,2,4,0,,9,12,0,,
SC-100051,2022-06-17,2024-01-15,basic,29.99,San Antonio,19.2,577,2,2,4,20,2,52.87,1057.38,4,0,0,0,9.0,2,4,0,,
SC-100052,2023-01-10,2024-01-15,basic,29.99,Portland,12.3,370,0,2,6,14,0,67.57,946.0,3,0,0,0,7.0,10,34,0,,
SC-100053,2023-11-13,2024-01-15,premium,49.99,Seattle,2.1,63,0,8,3,2,1,41.35,82.7,1,0,0,0,4.0,2,27,0,,
SC-100054,2022-06-29,2024-01-15,premium,49.99,Phoenix,18.8,565,0,2,6,31,2,52.03,1612.89,1,0,4,0,,6,42,0,,
SC-100055,2023-06-05,2024-01-15,basic,29.99,Portland,7.5,224,0,6,4,6,0,92.26,553.56,1,0,0,0,,1,2,0,,
SC-100056,2023-08-07,2024-01-15,premium,49.99,Phoenix,5.4,161,1,5,9,6,3,29.23,175.35,1,0,0,0,9.0,0,24,0,,
SC-100057,2023-11-01,2024-01-15,family,79.99,Houston,2.5,75,2,1,5,2,0,53.05,106.11,1,1,0,1,9.0,0,53,0,,
SC-100058,2023-12-05,2024-01-15,basic,29.99,San Diego,1.4,41,0,1,3,1,0,59.71,59.71,0,3,0,0,7.0,9,41,1,2024-01-22,other
SC-100059,2023-12-04,2024-01-15,basic,29.99,Dallas,1.4,42,3,4,4,1,0,58.38,58.38,0,0,0,1,5.0,14,3,0,,
SC-100060,2022-01-01,2024-01-15,family,79.99,Denver,24.8,744,4,8,4,22,2,42.31,930.82,5,0,2,0,9.0,6,1,0,,
SC-100061,2023-09-30,2024-01-15,basic,29.99,Seattle,3.6,107,2,7,8,4,1,65.44,261.76,1,0,0,0,7.0,1,8,0,,
SC-100062,2022-09-25,2024-01-15,family,79.99,Denver,15.9,477,1,4,4,15,0,82.15,1232.27,0,0,3,0,1.0,17,20,0,,
SC-100063,2022-01-01,2024-01-15,premium,49.99,San Jose,24.8,744,2,5,7,25,2,36.73,918.28,3,1,1,0,8.0,1,23,0,,
SC-100064,2023-12-30,2024-01-15,premium,49.99,Portland,0.5,16,0,3,1,0,0,32.34,0.0,0,2,0,0,,0,16,1,2024-02-13,not_using
SC-100065,2023-06-06,2024-01-15,basic,29.99,Phoenix,7.4,223,1,5,5,6,1,52.96,317.79,1,0,1,1,5.0,69,4,0,,
SC-100066,2022-05-06,2024-01-15,basic,29.99,Denver,20.6,619,2,9,5,40,3,25.05,1001.9,3,0,2,0,9.0,20,4,0,,
SC-100067,2023-12-04,2024-01-15,family,79.99,New York,1.4,42,1,3,3,1,2,31.91,31.91,0,2,1,0,2.0,9,2,0,,
SC-100068,2024-01-13,2024-01-15,family,79.99,Seattle,0.1,2,1,6,5,0,2,41.91,0.0,0,0,0,1,10.0,2,2,0,,
SC-100069,2023-01-07,2024-01-15,family,79.99,Phoenix,12.4,373,1,3,8,21,3,33.66,706.76,0,0,2,1,7.0,22,2,0,,
SC-100070,2022-01-01,2024-01-15,premium,49.99,San Jose,24.8,744,1,2,8,26,5,48.49,1260.69,4,0,0,0,,9,10,0,,
SC-100071,2022-04-25,2024-01-15,family,79.99,Dallas,21.0,630,2,6,5,17,1,39.89,678.13,2,0,0,0,7.0,5,21,0,,
SC-100072,2024-01-12,2024-01-15,basic,29.99,Houston,0.1,3,0,2,1,0,0,21.01,0.0,0,0,0,0,4.0,3,3,1,2024-02-10,other
SC-100073,2022-12-01,2024-01-15,premium,49.99,San Diego,13.7,410,1,9,4,12,0,33.45,401.36,3,0,0,0,6.0,16,7,0,,
SC-100074,2023-05-29,2024-01-15,family,79.99,Dallas,7.7,231,2,12,4,9,1,32.96,296.65,2,0,0,0,,1,0,0,,
SC-100075,2024-01-10,2024-01-15,premium,49.99,Denver,0.2,5,3,4,10,0,2,50.6,0.0,0,0,0,0,6.0,5,5,0,,
SC-100076,2023-12-30,2024-01-15,premium,49.99,New York,0.5,16,0,4,0,0,4,54.32,0.0,1,0,0,0,9.0,7,16,0,,
SC-100077,2022-03-18,2024-01-15,basic,29.99,San Antonio,22.3,668,2,4,7,47,2,58.15,2733.01,3,0,1,0,,23,4,0,,
SC-100078,2023-09-05,2024-01-15,basic,29.99,Chicago,4.4,132,0,5,3,4,1,59.27,237.09,0,0,0,1,6.0,3,34,0,,
SC-100079,2023-05-21,2024-01-15,basic,29.99,Houston,8.0,239,0,1,5,6,1,33.1,198.6,0,0,0,0,,15,35,0,,
SC-100080,2023-06-21,2024-01-15,premium,49.99,New York,6.9,208,1,8,3,7,0,49.28,344.94,0,1,0,0,10.0,16,8,0,,
SC-100081,2023-01-23,2024-01-15,premium,49.99,San Antonio,11.9,357,1,3,1,9,1,77.84,700.59,2,0,4,0,,4,11,0,,
SC-100082,2023-06-23,2024-01-15,family,79.99,Austin,6.9,206,1,8,6,6,2,101.32,607.95,1,0,0,0,8.0,0,3,0,,
SC-100083,2023-12-01,2024-01-15,basic,29.99,Phoenix,1.5,45,1,8,6,1,2,60.85,60.85,0,0,0,0,8.0,7,1,0,,
SC-100084,2023-10-26,2024-01-15,family,79.99,Houston,2.7,81,0,0,1,2,0,60.78,121.56,1,1,0,0,10.0,81,81,1,2024-01-16,too_expensive
SC-100085,2023-10-23,2024-01-15,premium,49.99,San Antonio,2.8,84,1,4,7,2,1,39.12,78.25,1,1,0,0,,0,5,0,,
SC-100086,2022-12-13,2024-01-15,family,79.99,Denver,13.3,398,1,5,2,36,0,57.69,2077.0,1,0,2,0,,2,14,0,,
SC-100087,2023-07-06,2024-01-15,premium,49.99,Houston,6.4,193,2,1,1,5,1,39.86,199.29,0,0,1,0,3.0,2,8,0,,
SC-100088,2022-01-01,2024-01-15,premium,49.99,Denver,24.8,744,4,11,8,26,4,40.17,1044.54,2,0,1,0,7.0,0,6,0,,
SC-100089,2023-10-22,2024-01-15,basic,29.99,Philadelphia,2.8,85,2,6,3,3,2,51.15,153.44,0,0,0,0,9.0,0,32,0,,
SC-100090,2023-03-02,2024-01-15,premium,49.99,Denver,10.6,319,2,5,2,29,1,77.3,2241.84,3,0,0,0,4.0,4,64,0,,
SC-100091,2023-06-24,2024-01-15,premium,49.99,Dallas,6.8,205,4,4,7,5,1,22.1,110.52,0,0,0,0,10.0,13,95,0,,
SC-100092,2022-04-18,2024-01-15,premium,49.99,San Jose,21.2,637,2,5,6,19,0,29.59,562.14,1,1,1,0,8.0,7,3,0,,
SC-100093,2023-03-06,2024-01-15,premium,49.99,San Antonio,10.5,315,3,8,9,11,2,69.78,767.58,0,0,0,0,9.0,18,13,0,,
SC-100094,2023-05-16,2024-01-15,basic,29.99,Denver,8.1,244,2,9,6,7,2,38.8,271.59,1,1,0,0,,3,1,0,,
SC-100095,2022-01-01,2024-01-15,basic,29.99,Portland,24.8,744,0,4,7,23,1,31.64,727.74,1,0,1,0,,6,6,0,,
SC-100096,2023-05-16,2024-01-15,basic,29.99,San Antonio,8.1,244,3,1,4,13,1,60.27,783.46,1,1,1,0,10.0,14,17,0,,
SC-100097,2022-09-16,2024-01-15,premium,49.99,Boston,16.2,486,0,3,5,46,1,97.77,4497.19,3,0,0,0,10.0,2,0,0,,
SC-100098,2022-01-01,2024-01-15,premium,49.99,Houston,24.8,744,0,6,3,54,1,41.71,2252.18,5,1,1,0,6.0,23,148,0,,
SC-100099,2022-06-14,2024-01-15,premium,49.99,Dallas,19.3,580,2,8,7,18,0,56.99,1025.87,1,0,2,0,8.0,5,10,0,,
SC-100100,2022-01-01,2024-01-15,basic,29.99,Denver,24.8,744,0,1,2,29,1,36.91,1070.48,12,0,3,0,8.0,7,14,1,2024-02-01,too_expensive
SC-100101,2023-09-10,2024-01-15,basic,29.99,San Jose,4.2,127,3,1,1,3,0,37.63,112.89,1,2,0,0,4.0,4,9,1,2024-01-30,found_alternative
SC-100102,2023-04-02,2024-01-15,family,79.99,Seattle,9.6,288,2,5,7,20,1,49.56,991.12,3,1,0,0,3.0,4,5,0,,
SC-100103,2023-02-02,2024-01-15,basic,29.99,Portland,11.6,347,1,9,5,9,1,27.2,244.82,3,0,0,0,10.0,1,4,0,,
SC-100104,2023-04-28,2024-01-15,premium,49.99,Portland,8.7,262,0,2,6,7,0,38.44,269.1,0,0,0,1,5.0,14,108,0,,
SC-100105,2023-10-17,2024-01-15,family,79.99,San Diego,3.0,90,1,5,2,2,1,38.87,77.73,0,0,0,1,10.0,14,31,0,,
SC-100106,2022-11-06,2024-01-15,basic,29.99,New York,14.5,435,2,4,7,14,1,39.63,554.86,2,0,0,0,,2,0,0,,
SC-100107,2022-03-29,2024-01-15,family,79.99,San Antonio,21.9,657,0,1,2,78,1,27.56,2149.34,0,0,3,0,,4,4,0,,
SC-100108,2023-10-16,2024-01-15,basic,29.99,Houston,3.0,91,1,8,5,2,0,28.17,56.34,0,0,0,0,5.0,1,37,0,,
SC-100109,2022-01-01,2024-01-15,basic,29.99,San Antonio,24.8,744,2,2,5,21,0,22.18,465.82,7,0,2,0,,0,19,0,,
SC-100110,2023-04-20,2024-01-15,basic,29.99,New York,9.0,270,4,9,6,14,0,68.66,961.23,1,0,1,0,,1,0,0,,
SC-100111,2023-01-16,2024-01-15,basic,29.99,Seattle,12.1,364,1,8,6,27,1,50.92,1374.73,1,1,0,0,2.0,17,42,0,,
SC-100112,2023-11-27,2024-01-15,basic,29.99,Portland,1.6,49,2,0,1,1,0,71.38,71.38,2,1,0,0,,5,4,1,2024-01-24,other
SC-100113,2023-11-05,2024-01-15,family,79.99,San Diego,2.4,71,0,4,2,2,1,47.17,94.34,0,1,1,1,9.0,9,66,0,,
SC-100114,2023-10-11,2024-01-15,basic,29.99,San Diego,3.2,96,0,3,3,6,1,64.43,386.55,2,0,0,0,5.0,8,14,0,,
SC-100115,2022-01-01,2024-01-15,basic,29.99,San Diego,24.8,744,1,4,10,20,4,24.09,481.76,6,0,0,0,,12,6,0,,
SC-100116,2023-11-12,2024-01-15,premium,49.99,Houston,2.1,64,2,3,2,1,0,40.91,40.91,0,2,1,0,8.0,17,10,0,,
SC-100117,2022-01-01,2024-01-15,basic,29.99,Austin,24.8,744,1,4,6,25,0,28.23,705.66,1,0,1,0,10.0,1,14,0,,
SC-100118,2023-10-26,2024-01-15,basic,29.99,Los Angeles,2.7,81,0,4,10,2,0,36.35,72.7,0,0,0,0,7.0,1,15,0,,
SC-100119,2023-12-23,2024-01-15,basic,29.99,San Antonio,0.8,23,2,9,9,0,1,35.9,0.0,0,0,0,0,,22,0,0,,
SC-100120,2022-01-01,2024-01-15,premium,49.99,San Diego,24.8,744,3,3,2,57,1,24.27,1383.17,9,1,2,0,,9,12,0,,
SC-100121,2023-11-24,2024-01-15,basic,29.99,San Antonio,1.7,52,3,4,3,1,1,22.63,22.63,0,0,0,0,,5,3,0,,
SC-100122,2023-06-18,2024-01-15,basic,29.99,Philadelphia,7.0,211,1,4,2,7,1,65.59,459.1,0,1,1,0,7.0,17,18,0,,
SC-100123,2023-11-04,2024-01-15,basic,29.99,Seattle,2.4,72,1,4,3,2,0,45.63,91.27,0,0,0,0,8.0,9,43,0,,
SC-100124,2022-01-01,2024-01-15,premium,49.99,Houston,24.8,744,1,5,3,47,0,45.31,2129.75,10,0,1,0,9.0,3,6,0,,
SC-100125,2023-10-27,2024-01-15,premium,49.99,San Diego,2.7,80,3,9,5,5,0,46.74,233.69,0,0,0,0,,6,4,0,,
SC-100126,2022-01-01,2024-01-15,family,79.99,Philadelphia,24.8,744,0,6,5,26,1,74.45,1935.76,8,0,1,1,8.0,2,79,0,,
SC-100127,2023-09-08,2024-01-15,premium,49.99,Denver,4.3,129,1,3,4,3,1,42.07,126.21,0,1,1,0,7.0,17,26,0,,
SC-100128,2023-08-27,2024-01-15,premium,49.99,San Antonio,4.7,141,1,4,0,5,3,60.62,303.12,0,0,1,0,9.0,1,7,0,,
SC-100129,2022-08-27,2024-01-15,basic,29.99,New York,16.9,506,3,8,6,16,0,30.04,480.64,2,0,0,0,,5,6,0,,
SC-100130,2023-07-02,2024-01-15,basic,29.99,Philadelphia,6.6,197,0,4,12,12,1,38.99,467.91,5,0,0,0,5.0,11,19,0,,
SC-100131,2023-07-06,2024-01-15,premium,49.99,Portland,6.4,193,0,3,2,6,1,44.73,268.39,0,1,1,0,,31,84,0,,
SC-100132,2022-01-01,2024-01-15,premium,49.99,Los Angeles,24.8,744,3,6,11,23,0,69.77,1604.62,4,0,0,0,7.0,11,8,0,,
SC-100133,2023-12-03,2024-01-15,premium,49.99,Boston,1.4,43,2,7,7,2,2,49.18,98.35,1,1,0,0,9.0,9,43,0,,
SC-100134,2023-01-24,2024-01-15,premium,49.99,San Diego,11.9,356,1,5,3,10,3,65.36,653.55,2,0,0,0,2.0,2,27,0,,
SC-100135,2022-03-20,2024-01-15,premium,49.99,Houston,22.2,666,0,7,8,20,1,43.65,873.03,4,0,4,0,6.0,1,1,0,,
SC-100136,2023-04-13,2024-01-15,premium,49.99,New York,9.2,277,4,6,4,9,0,36.28,326.51,0,0,1,0,6.0,23,18,0,,
SC-100137,2023-08-23,2024-01-15,premium,49.99,Philadelphia,4.8,145,1,4,2,5,1,54.75,273.74,0,0,1,1,9.0,4,12,0,,
SC-100138,2022-10-09,2024-01-15,premium,49.99,New York,15.4,463,2,3,2,66,0,33.4,2204.36,2,1,2,0,5.0,16,21,0,,
SC-100139,2023-04-27,2024-01-15,basic,29.99,San Jose,8.8,263,2,6,3,9,1,105.57,950.15,1,0,0,0,8.0,40,13,0,,
SC-100140,2023-10-01,2024-01-15,basic,29.99,San Antonio,3.5,106,0,4,4,3,0,47.79,143.37,1,0,1,1,9.0,0,15,0,,
SC-100141,2023-09-16,2024-01-15,basic,29.99,Houston,4.0,121,1,6,2,3,0,52.82,158.47,0,0,0,0,4.0,23,30,0,,
SC-100142,2022-12-02,2024-01-15,basic,29.99,Boston,13.6,409,2,10,3,16,1,43.63,698.15,1,1,2,1,6.0,15,8,0,,
SC-100143,2023-10-29,2024-01-15,basic,29.99,Houston,2.6,78,2,5,2,6,2,70.18,421.1,0,0,0,0,7.0,4,1,0,,
SC-100144,2023-02-06,2024-01-15,premium,49.99,San Jose,11.4,343,1,5,9,9,1,31.73,285.57,0,2,2,0,,1,76,0,,
SC-100145,2023-04-09,2024-01-15,basic,29.99,Portland,9.4,281,0,3,7,8,0,28.49,227.93,1,1,1,0,2.0,4,32,0,,
SC-100146,2023-08-18,2024-01-15,premium,49.99,Phoenix,5.0,150,2,8,1,4,1,60.57,242.28,1,0,0,0,,0,11,0,,
SC-100147,2023-08-09,2024-01-15,basic,29.99,Seattle,5.3,159,3,1,3,4,2,39.78,159.11,2,0,1,0,3.0,1,5,0,,
SC-100148,2022-01-01,2024-01-15,basic,29.99,San Diego,24.8,744,3,2,4,28,1,28.47,797.28,1,0,3,1,7.0,10,116,0,,
SC-100149,2023-10-14,2024-01-15,premium,49.99,Seattle,3.1,93,0,6,3,3,0,70.19,210.56,0,0,0,0,,2,23,0,,
SC-100150,2023-09-06,2024-01-15,family,79.99,Houston,4.4,131,1,6,5,3,2,50.31,150.92,2,0,0,0,4.0,3,59,0,,
SC-100151,2023-02-05,2024-01-15,premium,49.99,Austin,11.5,344,0,2,9,12,2,32.77,393.2,3,0,0,0,9.0,4,33,0,,
SC-100152,2022-01-01,2024-01-15,basic,29.99,Houston,24.8,744,0,2,7,73,0,66.57,4859.89,4,0,2,0,2.0,5,12,0,,
SC-100153,2023-04-02,2024-01-15,basic,29.99,Austin,9.6,288,0,9,6,31,0,55.24,1712.5,1,0,0,0,8.0,9,1,0,,
SC-100154,2022-12-17,2024-01-15,premium,49.99,Philadelphia,13.1,394,1,6,4,41,0,53.99,2213.47,3,1,0,0,8.0,16,6,0,,
SC-100155,2022-01-01,2024-01-15,basic,29.99,Portland,24.8,744,0,6,5,28,1,31.4,879.21,1,0,1,0,,1,12,0,,
SC-100156,2023-04-30,2024-01-15,basic,29.99,Portland,8.7,260,2,7,7,14,0,49.07,686.91,2,0,1,1,8.0,9,3,0,,
SC-100157,2024-01-09,2024-01-15,family,79.99,Portland,0.2,6,0,3,2,0,0,59.64,0.0,0,0,0,0,3.0,6,6,1,2024-01-31,too_expensive
SC-100158,2022-01-01,2024-01-15,basic,29.99,San Antonio,24.8,744,2,5,1,23,2,40.0,920.09,7,0,2,0,6.0,1,92,0,,
SC-100159,2022-02-18,2024-01-15,family,79.99,Phoenix,23.2,696,1,4,6,22,0,74.93,1648.39,3,0,1,1,8.0,1,10,0,,
SC-100160,2022-01-04,2024-01-15,family,79.99,Austin,24.7,741,3,3,5,21,0,59.58,1251.24,5,0,0,1,8.0,9,33,0,,
SC-100161,2022-12-03,2024-01-15,premium,49.99,Los Angeles,13.6,408,4,3,2,14,0,41.97,587.55,5,0,0,0,10.0,1,2,0,,
SC-100162,2022-03-08,2024-01-15,basic,29.99,San Antonio,22.6,678,1,4,9,19,0,59.69,1134.07,2,0,1,0,8.0,5,3,0,,
SC-100163,2022-12-30,2024-01-15,basic,29.99,Denver,12.7,381,0,9,5,15,2,46.75,701.18,0,0,3,0,6.0,10,35,0,,
SC-100164,2023-07-22,2024-01-15,basic,29.99,Phoenix,5.9,177,4,8,4,5,1,33.34,166.69,1,0,0,0,2.0,6,19,0,,
SC-100165,2023-08-08,2024-01-15,basic,29.99,Los Angeles,5.3,160,1,8,4,6,0,39.5,236.98,0,0,0,0,,8,36,0,,
SC-100166,2023-08-27,2024-01-15,basic,29.99,Boston,4.7,141,0,7,5,7,0,58.81,411.64,2,0,1,0,8.0,6,58,0,,
SC-100167,2023-03-05,2024-01-15,premium,49.99,Phoenix,10.5,316,2,5,7,9,0,42.24,380.15,0,1,0,0,8.0,0,11,0,,
SC-100168,2023-10-07,2024-01-15,basic,29.99,Philadelphia,3.3,100,0,2,6,3,1,29.81,89.43,0,0,0,0,9.0,1,14,0,,
SC-100169,2023-07-29,2024-01-15,basic,29.99,Los Angeles,5.7,170,1,3,3,6,0,22.76,136.57,0,0,1,0,9.0,4,4,0,,
SC-100170,2023-11-01,2024-01-15,basic,29.99,Boston,2.5,75,0,1,1,2,0,52.23,104.46,0,1,1,0,4.0,14,67,1,2024-02-03,found_alternative
SC-100171,2022-03-09,2024-01-15,basic,29.99,San Diego,22.6,677,0,7,3,24,1,44.71,1073.13,1,0,0,0,,3,21,0,,
SC-100172,2022-02-25,2024-01-15,family,79.99,Boston,23.0,689,2,2,5,22,0,59.42,1307.15,2,0,1,0,8.0,4,1,0,,
SC-100173,2023-09-21,2024-01-15,family,79.99,New York,3.9,116,2,12,2,8,2,155.27,1242.16,1,0,0,0,8.0,7,11,0,,
SC-100174,2022-01-01,2024-01-15,basic,29.99,San Antonio,24.8,744,2,3,6,22,2,65.1,1432.3,4,0,2,0,,28,41,0,,
SC-100175,2023-09-23,2024-01-15,premium,49.99,Philadelphia,3.8,114,4,4,4,3,1,38.25,114.75,0,0,0,0,9.0,10,114,0,,
SC-100176,2022-11-13,2024-01-15,family,79.99,San Jose,14.3,428,6,5,2,11,0,57.86,636.45,3,0,0,1,,1,30,0,,
SC-100177,2023-10-26,2024-01-15,basic,29.99,Austin,2.7,81,0,3,3,3,1,44.48,133.44,0,0,0,0,10.0,36,60,0,,
SC-100178,2022-09-17,2024-01-15,basic,29.99,San Diego,16.2,485,0,8,3,16,1,20.65,330.38,1,1,1,0,10.0,2,4,0,,
